City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
452,Ariquemes,BR,-9.91,-63.04,96.17,19,19,4.27,few clouds
453,Nakamura,JP,32.98,132.93,73.08,92,59,1.28,broken clouds
454,Mongo,TD,12.18,18.69,73.11,90,100,7.09,light rain
455,Pisco,PE,-13.7,-76.22,66.2,68,6,9.17,clear sky
456,Vengerovo,RU,55.68,76.75,68.02,80,0,7.2,clear sky
457,Nogliki,RU,51.83,143.17,52.47,93,98,12.41,overcast clouds
458,Calhoun,US,42.25,-85.0,72.0,82,90,4.21,light rain
459,Andra,RU,62.51,65.89,66.6,86,72,8.9,broken clouds
460,Monastyrshchina,RU,54.35,31.84,52.65,85,34,2.55,scattered clouds
461,Bath,GB,51.38,-2.36,61.0,75,100,5.01,overcast clouds
462,Guinguineo,SN,14.27,-15.95,86.0,84,75,15.82,broken clouds
463,Forestville,US,38.85,-76.88,93.0,55,20,12.75,few clouds
464,Marawi,PH,8.0,124.29,77.0,89,96,3.0,light rain
465,Viedma,AR,-40.81,-63.0,62.01,43,9,1.01,clear sky
466,Thanh Hoa,VN,19.8,105.77,76.1,95,100,3.33,overcast clouds
467,Andenes,NO,69.31,16.12,59.0,87,0,11.41,clear sky
468,Manono,CD,-7.3,27.42,73.8,27,59,5.84,broken clouds
469,Jilib,SO,0.49,42.79,73.85,81,21,7.94,few clouds
470,Kannangad,IN,12.31,75.11,77.16,88,100,2.39,moderate rain
471,Tucupita,VE,9.06,-62.05,83.26,79,39,4.38,light rain
472,Itarsi,IN,22.62,77.75,81.25,79,65,5.5,light rain
473,Bayji,IQ,34.93,43.49,88.12,16,0,3.87,clear sky
474,Sangamner,IN,19.57,74.22,79.14,82,100,4.18,overcast clouds
475,Haines Junction,CA,60.75,-137.51,62.78,53,100,9.46,overcast clouds
476,Aksarka,RU,66.56,67.8,64.06,63,100,11.14,overcast clouds
477,Mao,ES,39.89,4.27,78.8,65,0,11.41,clear sky
478,Tiznit,MA,29.58,-9.5,84.29,31,13,0.54,few clouds
479,Novopokrovka,UA,49.84,36.55,62.6,77,0,6.71,clear sky
480,Pangoa,PE,-12.12,-73.0,84.27,41,13,4.52,few clouds
481,Matara,LK,5.95,80.54,78.03,87,100,9.78,light rain
482,El Alto,PE,-4.27,-81.21,68.22,72,23,16.91,few clouds
483,Naron,ES,43.52,-8.15,66.0,74,100,1.01,overcast clouds
484,Devils Lake,US,48.11,-98.87,73.4,40,40,12.75,scattered clouds
485,Nyakahanga,TZ,-1.6,31.14,62.22,47,0,3.53,clear sky
486,Ulladulla,AU,-35.35,150.47,48.2,66,52,11.41,broken clouds
487,Kulmbach,DE,50.1,11.45,66.99,89,100,3.74,light rain
488,Macapa,BR,0.04,-51.07,89.6,62,75,10.29,broken clouds
489,Guiyang,CN,26.58,106.72,71.6,94,75,2.24,broken clouds
490,Vanavara,RU,60.34,102.28,56.35,75,98,3.51,overcast clouds
491,Beaverlodge,CA,55.22,-119.44,78.8,44,40,4.43,scattered clouds
492,Neufchateau,FR,48.35,5.7,68.0,52,99,5.82,overcast clouds
493,Tsiroanomandidy,MG,-18.77,46.03,59.58,61,0,6.04,clear sky
494,Srednekolymsk,RU,67.45,153.68,57.43,56,41,2.62,scattered clouds
495,Puerto Leguizamo,CO,-0.19,-74.78,88.81,48,6,4.09,clear sky
496,Shingu,JP,33.73,135.98,73.81,90,94,2.89,overcast clouds
497,Iberia,US,29.95,-91.75,91.99,66,40,9.17,scattered clouds
498,Rawson,AR,-43.3,-65.1,56.5,38,0,6.91,clear sky
499,Talara,PE,-4.58,-81.27,66.54,78,2,18.81,clear sky
500,Bereda,ES,43.27,-7.54,64.99,84,100,7.0,overcast clouds
